mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.001,0.00010138215447000756,0.00019786968264207398,-0.13820015186164702,-0.0009157586183338638,0.00037417447361640864,-8.258919345041985e-06
0.001,-0.00021878587308772423,-5.371034617346434e-05,-0.08566922805051422,0.0004114654943757953,-0.0011076845114006504,1.8770104845957547e-05
0.001,-0.00040609777675951094,9.038608288474331e-05,-0.016448004880759093,-0.00044142214152841303,-0.002012953053625624,0.00020947690533774748
0.001,-0.00044163024204508524,-2.785065647463368e-05,-0.04898722708134021,1.894725894394282e-05,-0.0026601018171377357,-2.568874408284198e-05
0.001,-0.0008131545984496222,-0.0005125365723951874,0.10589982794608595,0.002846789897372417,-0.0038531299953139045,-0.00016605035146285502
0.001,-0.0003100621114579126,-0.000963057742433402,-0.14077387876058542,0.00483356416105979,-0.001658146669793434,-2.6365755916626988e-05
0.001,-0.0008485242588926156,-0.0006108142496795952,-0.0392174610699188,0.002971143320094124,-0.004667152667248466,-0.0002010216134162387
0.001,-5.425589549256528e-06,-0.0013108135983362745,0.04163621378200231,0.007292229156038202,-0.001122678584155315,0.000397023690943867
0.001,0.001331467177900908,1.710265698450216e-05,-0.09384682675491098,-0.0007288660834346723,0.007973988603430847,-3.656655962029238e-06
0.001,-0.001585423331969815,0.00041793554922953243,0.11848944991103615,-0.0018721617318190437,-0.009063057531058264,-0.0005324222997837129
0.001,-0.0019714431128440508,-0.0002975694558238556,-0.04838888793797507,0.00023378208242654007,-0.008907715341058208,0.0008402201093121168
0.001,-0.0020313696935942553,-0.0006136668685943766,0.19551506171832256,0.0038807438189499615,-0.008893340514474147,0.00036564732043147175
0.001,0.0019407752984406065,-0.0017719190799169017,-0.04102202381239072,0.009332067638697705,0.009540345144623113,0.0004935196093439761
0.001,0.0018486808364514894,-0.0027735170221350703,0.15766896523387736,0.013239775399255763,0.00864945198841447,-8.869424178138886e-05
0.001,-0.0014615006262964586,0.003290521796416427,0.1163394469594312,-0.012865598126332943,-0.005511805738038866,0.0006216644691325773
0.001,0.0016703234360884828,-0.0032405323413745037,0.018626931764795372,0.014614549718391198,0.00867735714198465,0.0003445580948818045
